chrom	start	end	nSites	recombRate	CI95LO	CI95HI
NC_041728.1	5852000	6006000	1280	3.3506094235335875e-09	3.1871806585681423e-09	3.5140381884990332e-09
NC_041728.1	6006000	6160000	1439	3.6207778117056182e-09	3.457349046740173e-09	3.784206576671064e-09
NC_041728.1	6160000	6314000	1392	3.612541707642106e-09	3.4491129426766607e-09	3.775970472607552e-09
NC_041728.1	6314000	6468000	1194	3.3154007104087335e-09	3.1519719454432883e-09	3.478829475374179e-09
NC_041728.1	6468000	6622000	1478	3.637648915234756e-09	3.4742201502693106e-09	3.8010776802002016e-09
NC_041728.1	6622000	6776000	1376	3.5140685432423836e-09	3.3506397782769383e-09	3.6774973082078292e-09
NC_041728.1	6776000	6930000	1340	3.4711537641240042e-09	3.307724999158559e-09	3.63458252908945e-09
NC_041728.1	6930000	7084000	1402	3.6462039408906964e-09	3.482775175925251e-09	3.809632705856142e-09
NC_041728.1	7084000	7238000	1394	3.580371265305712e-09	3.416942500340267e-09	3.743800030271158e-09
NC_041728.1	7238000	7392000	1472	3.6547339513261524e-09	3.491305186360707e-09	3.818162716291598e-09
NC_041728.1	7392000	7546000	1449	3.612748015804829e-09	3.4493192508393836e-09	3.7761767807702745e-09
NC_041728.1	7546000	7700000	1440	3.60131552079271e-09	3.4378867558272647e-09	3.764744285758156e-09
NC_041728.1	7700000	7854000	1449	3.578877871621904e-09	3.415449106656459e-09	3.74230663658735e-09
NC_041728.1	7854000	8008000	1504	3.5830829901022055e-09	3.4196542251367602e-09	3.746511755067651e-09
NC_041728.1	8008000	8162000	1322	3.3492851503407908e-09	3.1858563853753455e-09	3.5127139153062365e-09
NC_041728.1	8162000	8316000	1377	3.5576277713613296e-09	3.3941990063958844e-09	3.7210565363267753e-09
NC_041728.1	8316000	8470000	1402	3.6806696720087844e-09	3.517240907043339e-09	3.84409843697423e-09
NC_041728.1	8470000	8624000	1451	3.608103198652592e-09	3.4446744336871468e-09	3.771531963618038e-09
NC_041728.1	8624000	8778000	1482	3.6369288963016443e-09	3.473500131336199e-09	3.80035766126709e-09
NC_041728.1	8778000	8932000	1550	3.6542211842437216e-09	3.4907924192782764e-09	3.817649949209167e-09
NC_041728.1	8932000	9086000	1484	3.612328973413762e-09	3.4489002084483166e-09	3.7757577383792075e-09
NC_041728.1	9086000	9240000	1304	3.403035348980715e-09	3.2396065840152697e-09	3.5664641139461607e-09
NC_041728.1	9240000	9394000	1469	3.5767454364193225e-09	3.4133166714538773e-09	3.740174201384768e-09
NC_041728.1	9394000	9548000	1423	3.6018935221776632e-09	3.438464757212218e-09	3.765322287143109e-09
NC_041728.1	9548000	9702000	1490	3.6234527925884294e-09	3.460024027622984e-09	3.786881557553875e-09
NC_041728.1	9702000	9856000	1486	3.630251060724289e-09	3.4668222957588437e-09	3.793679825689735e-09
NC_041728.1	9856000	10010000	1450	3.625102778556642e-09	3.4616740135911967e-09	3.788531543522088e-09
NC_041728.1	10010000	10164000	1517	3.6682969941649353e-09	3.50486822919949e-09	3.831725759130381e-09
NC_041728.1	10164000	10318000	1364	3.495983317748439e-09	3.3325545527829936e-09	3.6594120827138845e-09
NC_041728.1	10318000	10472000	1337	3.468370955657562e-09	3.304942190692117e-09	3.631799720623008e-09
NC_041728.1	10472000	10626000	1181	3.2800327237273395e-09	3.1166039587618943e-09	3.4434614886927852e-09
NC_041728.1	10626000	10780000	1175	3.1516834396161973e-09	2.988254674650752e-09	3.315112204581643e-09
NC_041728.1	10780000	10934000	1230	3.268624884435532e-09	3.1051961194700867e-09	3.4320536494009776e-09
NC_041728.1	10934000	11088000	1176	3.1869203884839346e-09	3.0234916235184893e-09	3.3503491534493802e-09
NC_041728.1	11088000	11242000	1249	3.2146385409907867e-09	3.0512097760253414e-09	3.3780673059562324e-09
NC_041728.1	11242000	11396000	1101	3.2203238115651313e-09	3.056895046599686e-09	3.383752576530577e-09
NC_041728.1	11396000	11550000	937	3.460803769075253e-09	3.2973750041098077e-09	3.6242325340406986e-09
NC_041728.1	11550000	11704000	755	3.000833032084664e-09	2.8374042671192186e-09	3.1642617970501095e-09
NC_041728.1	11704000	11858000	860	3.364863958873004e-09	3.2014351939075585e-09	3.5282927238384495e-09
NC_041728.1	11858000	12012000	866	3.322831436716419e-09	3.1594026717509736e-09	3.4862602016818645e-09
NC_041728.1	12012000	12166000	1119	3.150845235000673e-09	2.9874164700352278e-09	3.3142739999661187e-09
NC_041728.1	12166000	12320000	737	2.837242657364189e-09	2.6738138923987436e-09	3.0006714223296345e-09
NC_041728.1	12320000	12474000	807	3.1066714712915256e-09	2.9432427063260803e-09	3.2701002362569713e-09
NC_041728.1	12474000	12628000	605	2.5349293738369244e-09	2.371500608871479e-09	2.69835813880237e-09
NC_041728.1	12628000	12782000	639	2.4338937670882277e-09	2.2704650021227824e-09	2.5973225320536733e-09
NC_041728.1	12782000	12936000	694	2.459917145896777e-09	2.2964883809313318e-09	2.6233459108622227e-09
NC_041728.1	12936000	13090000	644	2.502170998923252e-09	2.338742233957807e-09	2.665599763888698e-09
NC_041728.1	13090000	13244000	647	2.5261330037304075e-09	2.3627042387649623e-09	2.689561768695853e-09
NC_041728.1	13244000	13398000	715	2.5999731412678325e-09	2.4365443763023873e-09	2.7634019062332782e-09
NC_041728.1	13398000	13552000	810	3.1738043092164485e-09	3.0103755442510033e-09	3.337233074181894e-09
NC_041728.1	13552000	13706000	871	3.461787691094898e-09	3.298358926129453e-09	3.625216456060344e-09
NC_041728.1	13706000	13860000	795	3.1592151779833695e-09	2.995786413017924e-09	3.322643942948815e-09
NC_041728.1	13860000	14014000	1015	3.2726538553198465e-09	3.1092250903544013e-09	3.436082620285292e-09
NC_041728.1	14014000	14168000	758	3.0313720027118395e-09	2.8679432377463943e-09	3.194800767677285e-09
NC_041728.1	14168000	14322000	838	3.1627225515622145e-09	2.9992937865967693e-09	3.3261513165276602e-09
NC_041728.1	14322000	14476000	915	3.348499930808298e-09	3.1850711658428525e-09	3.5119286957737435e-09
NC_041728.1	14476000	14630000	1084	3.261186256613592e-09	3.0977574916481467e-09	3.4246150215790376e-09
NC_041728.1	14630000	14784000	792	3.1958102585942064e-09	3.032381493628761e-09	3.359239023559652e-09
NC_041728.1	14784000	14938000	796	3.1039441232166085e-09	2.9405153582511633e-09	3.267372888182054e-09
NC_041728.1	14938000	15092000	779	3.116831185893674e-09	2.9534024209282288e-09	3.2802599508591197e-09
NC_041728.1	15092000	15246000	802	3.0982911028037643e-09	2.934862337838319e-09	3.26171986776921e-09
NC_041728.1	15246000	15400000	652	2.6201301363098877e-09	2.4567013713444424e-09	2.7835589012753333e-09
NC_041728.1	15400000	15554000	699	2.450133528393999e-09	2.2867047634285537e-09	2.6135622933594446e-09
NC_041728.1	15554000	15708000	598	2.6157078647449283e-09	2.452279099779483e-09	2.779136629710374e-09
NC_041728.1	15708000	15862000	646	2.4900073105142606e-09	2.3265785455488154e-09	2.6534360754797063e-09
NC_041728.1	15862000	16016000	715	2.6106341189468227e-09	2.4472053539813775e-09	2.7740628839122684e-09
NC_041728.1	16016000	16170000	852	3.2238085815704956e-09	3.0603798166050503e-09	3.3872373465359413e-09
NC_041728.1	16170000	16324000	999	3.0731879545672537e-09	2.9097591896018085e-09	3.2366167195326994e-09
NC_041728.1	16324000	16478000	862	3.313933889779501e-09	3.150505124814056e-09	3.4773626547449467e-09
NC_041728.1	16478000	16632000	826	3.274972264456522e-09	3.1115434994910768e-09	3.4384010294219677e-09
NC_041728.1	16632000	16786000	1023	3.2590574688398658e-09	3.0956287038744205e-09	3.4224862338053114e-09
NC_041728.1	16786000	16940000	1217	3.3304876744878216e-09	3.1670589095223763e-09	3.4939164394532672e-09
NC_041728.1	16940000	17094000	1474	3.679392697430111e-09	3.5159639324646656e-09	3.8428214623955565e-09
NC_041728.1	17094000	17248000	1282	3.384431156898724e-09	3.2210023919332787e-09	3.5478599218641696e-09
NC_041728.1	17248000	17402000	1462	3.576644716453727e-09	3.413215951488282e-09	3.740073481419173e-09
NC_041728.1	17402000	17556000	1172	3.1558414485944474e-09	2.992412683629002e-09	3.319270213559893e-09
NC_041728.1	17556000	17710000	1386	3.5822681230396854e-09	3.41883935807424e-09	3.745696888005131e-09
NC_041728.1	17710000	17864000	1537	3.6262452701116518e-09	3.4628165051462065e-09	3.7896740350770975e-09
NC_041728.1	17864000	18018000	1660	3.5769491981224744e-09	3.413520433157029e-09	3.74037796308792e-09
NC_041728.1	18018000	18172000	1350	3.4010858263435533e-09	3.237657061378108e-09	3.564514591308999e-09
NC_041728.1	18172000	18326000	1497	3.6026980685893372e-09	3.439269303623892e-09	3.766126833554783e-09
NC_041728.1	18326000	18480000	1430	3.6334403365652724e-09	3.470011571599827e-09	3.796869101530718e-09
NC_041728.1	18480000	18634000	1352	3.3841537875348143e-09	3.220725022569369e-09	3.54758255250026e-09
NC_041728.1	18634000	18788000	1574	3.603682679650984e-09	3.4402539146855388e-09	3.76711144461643e-09
NC_041728.1	18788000	18942000	1464	3.5427372741276835e-09	3.3793085091622383e-09	3.706166039093129e-09
NC_041728.1	18942000	19096000	1261	3.3533319426973045e-09	3.189903177731859e-09	3.51676070766275e-09
NC_041728.1	19096000	19250000	1153	3.291119896352954e-09	3.127691131387509e-09	3.4545486613184e-09
NC_041728.1	19250000	19404000	1224	3.3071800985558723e-09	3.143751333590427e-09	3.470608863521318e-09
NC_041728.1	19404000	19558000	1364	3.4392014859665086e-09	3.2757727210010634e-09	3.6026302509319543e-09
NC_041728.1	19558000	19712000	1310	3.3769630233808097e-09	3.2135342584153644e-09	3.5403917883462554e-09
NC_041728.1	19712000	19866000	1110	3.2146081632260296e-09	3.0511793982605844e-09	3.3780369281914753e-09
NC_041728.1	19866000	20020000	1076	3.3283747871072363e-09	3.164946022141791e-09	3.491803552072682e-09
NC_041728.1	20020000	20174000	978	3.255933696926537e-09	3.092504931961092e-09	3.4193624618919828e-09
NC_041728.1	20174000	20328000	1100	3.1776319225550296e-09	3.0142031575895843e-09	3.3410606875204753e-09
NC_041728.1	20328000	20482000	1134	3.1765664838707838e-09	3.0131377189053385e-09	3.3399952488362294e-09
NC_041728.1	20482000	20636000	918	3.4155735354622585e-09	3.2521447704968132e-09	3.579002300427704e-09
NC_041728.1	20636000	20790000	947	3.352222446517698e-09	3.1887936815522528e-09	3.5156512114831437e-09
NC_041728.1	20790000	20944000	1116	3.1499364485175274e-09	2.986507683552082e-09	3.313365213482973e-09
NC_041728.1	20944000	21098000	1084	3.297307800598556e-09	3.1338790356331107e-09	3.4607365655640016e-09
NC_041728.1	21098000	21252000	1312	3.408013909617997e-09	3.244585144652552e-09	3.571442674583443e-09
NC_041728.1	21252000	21406000	1197	3.360084700357931e-09	3.196655935392486e-09	3.5235134653233767e-09
NC_041728.1	21406000	21560000	1241	3.3208938918012216e-09	3.1574651268357764e-09	3.4843226567666673e-09
NC_041728.1	21560000	21714000	1269	3.346417608432144e-09	3.182988843466699e-09	3.5098463733975898e-09
NC_041728.1	21714000	21868000	1218	3.2560634315520607e-09	3.0926346665866154e-09	3.4194921965175064e-09
NC_041728.1	21868000	22022000	1138	3.2220251161832737e-09	3.0585963512178285e-09	3.3854538811487194e-09
NC_041728.1	22022000	22176000	1297	3.393904997594766e-09	3.2304762326293207e-09	3.5573337625602116e-09
NC_041728.1	22176000	22330000	1270	3.37418854333508e-09	3.210759778369635e-09	3.537617308300526e-09
NC_041728.1	22330000	22484000	1145	3.2107585155225783e-09	3.047329750557133e-09	3.374187280488024e-09
NC_041728.1	22484000	22638000	1219	3.193243951618355e-09	3.0298151866529097e-09	3.3566727165838006e-09
NC_041728.1	22638000	22792000	1224	3.281725355403769e-09	3.1182965904383236e-09	3.4451541203692145e-09
NC_041728.1	22792000	22946000	1227	3.2587969061091207e-09	3.0953681411436754e-09	3.4222256710745664e-09
NC_041728.1	22946000	23100000	1212	3.41769919258863e-09	3.254270427623185e-09	3.5811279575540758e-09
NC_041728.1	23100000	23254000	1160	3.3067504995919693e-09	3.143321734626524e-09	3.470179264557415e-09
NC_041728.1	23254000	23408000	981	3.1613474184566896e-09	2.9979186534912443e-09	3.3247761834221352e-09
NC_041728.1	23408000	23562000	911	3.38497761963294e-09	3.2215488546674948e-09	3.5484063845983857e-09
NC_041728.1	23562000	23716000	970	3.2998587239627674e-09	3.136429958997322e-09	3.463287488928213e-09
NC_041728.1	23716000	23870000	926	3.2212854295947752e-09	3.05785666462933e-09	3.384714194560221e-09
NC_041728.1	23870000	24024000	1153	3.265811443558375e-09	3.10238267859293e-09	3.429240208523821e-09
NC_041728.1	24024000	24178000	1140	3.2710436016105192e-09	3.107614836645074e-09	3.434472366575965e-09
NC_041728.1	24178000	24332000	1344	3.404426322562685e-09	3.24099755759724e-09	3.5678550875281308e-09
NC_041728.1	24332000	24486000	987	3.2169338747100024e-09	3.053505109744557e-09	3.380362639675448e-09
NC_041728.1	24486000	24640000	1202	3.289245709598744e-09	3.1258169446332986e-09	3.4526744745641896e-09
NC_041728.1	24640000	24794000	1066	3.2191027242844398e-09	3.0556739593189945e-09	3.3825314892498854e-09
NC_041728.1	24794000	24948000	980	3.2217115421559427e-09	3.0582827771904975e-09	3.3851403071213884e-09
NC_041728.1	24948000	25102000	1022	3.235140596283802e-09	3.0717118313183568e-09	3.3985693612492477e-09
NC_041728.1	25102000	25256000	1224	3.2630372855648855e-09	3.0996085205994402e-09	3.426466050530331e-09
NC_041728.1	25256000	25410000	1218	3.295419001660164e-09	3.131990236694719e-09	3.45884776662561e-09
NC_041728.1	25410000	25564000	877	3.2588329385120413e-09	3.095404173546596e-09	3.422261703477487e-09
NC_041728.1	25564000	25718000	1020	3.3093847296320674e-09	3.145955964666622e-09	3.472813494597513e-09
NC_041728.1	25718000	25872000	893	3.3254048213519586e-09	3.1619760563865133e-09	3.4888335863174042e-09
NC_041728.1	25872000	26026000	1492	3.6218306379254038e-09	3.4584018729599585e-09	3.7852594028908494e-09
NC_041728.1	26026000	26180000	1462	3.542895693871309e-09	3.3794669289058637e-09	3.7063244588367546e-09
NC_041728.1	26180000	26334000	1413	3.6582602585808613e-09	3.494831493615416e-09	3.821689023546307e-09
NC_041728.1	26334000	26488000	1268	3.360615528579344e-09	3.1971867636138986e-09	3.5240442935447895e-09
NC_041728.1	26488000	26642000	1478	3.578566409658099e-09	3.4151376446926536e-09	3.7419951746235445e-09
NC_041728.1	26642000	26796000	1433	3.6161847475993565e-09	3.4527559826339113e-09	3.779613512564802e-09
NC_041728.1	26796000	26950000	1565	3.6049867964928433e-09	3.441558031527398e-09	3.768415561458289e-09
NC_041728.1	26950000	27104000	1438	3.6215804258038532e-09	3.458151660838408e-09	3.785009190769299e-09
NC_041728.1	27104000	27258000	1456	3.617267592083724e-09	3.4538388271182786e-09	3.7806963570491695e-09
NC_041728.1	27258000	27412000	1427	3.618331757538184e-09	3.454902992572739e-09	3.78176052250363e-09
NC_041728.1	27412000	27566000	1466	3.5761268414729826e-09	3.4126980765075373e-09	3.739555606438428e-09
NC_041728.1	27566000	27720000	1464	3.5350376941164756e-09	3.3716089291510303e-09	3.6984664590819212e-09
NC_041728.1	27720000	27874000	1356	3.3130809306776426e-09	3.1496521657121973e-09	3.4765096956430883e-09
NC_041728.1	27874000	28028000	1291	3.3630133587005642e-09	3.199584593735119e-09	3.52644212366601e-09
NC_041728.1	28028000	28182000	1288	3.39319844493903e-09	3.2297696799735847e-09	3.5566272099044757e-09
NC_041728.1	28182000	28336000	1489	3.5828902980085977e-09	3.4194615330431525e-09	3.746319062974043e-09
NC_041728.1	28336000	28490000	1423	3.5442461412981754e-09	3.38081737633273e-09	3.707674906263621e-09
NC_041728.1	28490000	28644000	1507	3.615180034486277e-09	3.451751269520832e-09	3.778608799451723e-09
NC_041728.1	28644000	28798000	1424	3.5896511182095993e-09	3.426222353244154e-09	3.753079883175045e-09
NC_041728.1	28798000	28952000	1481	3.5947523058543697e-09	3.4313235408889244e-09	3.758181070819815e-09
NC_041728.1	28952000	29106000	1348	3.4002458242271557e-09	3.2368170592617104e-09	3.5636745891926013e-09
NC_041728.1	29106000	29260000	1581	3.5178481782868237e-09	3.3544194133213785e-09	3.6812769432522694e-09
NC_041728.1	29260000	29414000	1458	3.654225168703991e-09	3.490796403738546e-09	3.817653933669437e-09
NC_041728.1	29414000	29568000	1479	3.599460320141473e-09	3.436031555176028e-09	3.762889085106919e-09
NC_041728.1	29568000	29722000	1299	3.412486646019972e-09	3.2490578810545267e-09	3.5759154109854176e-09
NC_041728.1	29722000	29876000	1273	3.403771889942685e-09	3.24034312497724e-09	3.567200654908131e-09
NC_041728.1	29876000	30030000	1345	3.3585030006989333e-09	3.195074235733488e-09	3.521931765664379e-09
NC_041728.1	30030000	30184000	1443	3.654980119070738e-09	3.491551354105293e-09	3.818408884036184e-09
NC_041728.1	30184000	30338000	1447	3.627992321127018e-09	3.4645635561615726e-09	3.7914210860924635e-09
NC_041728.1	30338000	30492000	1524	3.7054812056869654e-09	3.54205244072152e-09	3.868909970652411e-09
NC_041728.1	30492000	30646000	1391	3.6448274746386905e-09	3.4813987096732453e-09	3.808256239604136e-09
NC_041728.1	30646000	30800000	1447	3.6458644528924436e-09	3.4824356879269984e-09	3.809293217857889e-09
NC_041728.1	30800000	30954000	1253	3.2495004188325688e-09	3.0860716538671235e-09	3.4129291837980145e-09
NC_041728.1	30954000	31108000	1509	3.657592906423336e-09	3.4941641414578906e-09	3.8210216713887816e-09
NC_041728.1	31108000	31262000	1512	3.695743514331498e-09	3.5323147493660525e-09	3.8591722792969435e-09
NC_041728.1	31262000	31416000	1603	3.5356364266781668e-09	3.3722076617127215e-09	3.6990651916436124e-09
NC_041728.1	31416000	31570000	1283	3.372388903482644e-09	3.2089601385171988e-09	3.5358176684480897e-09
NC_041728.1	31570000	31724000	1230	3.2598434560550233e-09	3.096414691089578e-09	3.423272221020469e-09
NC_041728.1	31724000	31878000	1184	3.2785165467199635e-09	3.115087781754518e-09	3.441945311685409e-09
NC_041728.1	31878000	32032000	1251	3.2283207581374634e-09	3.064891993172018e-09	3.391749523102909e-09
NC_041728.1	32032000	32186000	1268	3.360983417091393e-09	3.197554652125948e-09	3.524412182056839e-09
NC_041728.1	32186000	32340000	1036	3.22134865668799e-09	3.0579198917225447e-09	3.3847774216534357e-09
NC_041728.1	32340000	32494000	911	3.411386620423091e-09	3.2479578554576456e-09	3.5748153853885365e-09
NC_041728.1	32494000	32648000	868	3.432898474258739e-09	3.2694697092932937e-09	3.5963272392241847e-09
NC_041728.1	32648000	32802000	884	3.2252388230569585e-09	3.0618100580915132e-09	3.388667588022404e-09
NC_041728.1	32802000	32956000	552	2.996535207496826e-09	2.833106442531381e-09	3.159963972462272e-09
NC_041728.1	32956000	33110000	856	2.8993731851715425e-09	2.7359444202060972e-09	3.062801950136988e-09
NC_041728.1	33110000	33264000	1030	3.1296504977669937e-09	2.9662217328015484e-09	3.2930792627324393e-09
NC_041728.1	33264000	33418000	1054	3.2969258691109344e-09	3.133497104145489e-09	3.46035463407638e-09
NC_041728.1	33418000	33572000	763	3.0386944820190226e-09	2.8752657170535774e-09	3.2021232469844683e-09
NC_041728.1	33572000	33726000	758	3.005979037417872e-09	2.8425502724524268e-09	3.1694078023833177e-09
NC_041728.1	33726000	33880000	921	3.3097841942427897e-09	3.1463554292773444e-09	3.4732129592082353e-09
NC_041728.1	33880000	34034000	929	3.2451144867435956e-09	3.0816857217781503e-09	3.4085432517090413e-09
NC_041728.1	34034000	34188000	1204	3.2522134992443045e-09	3.0887847342788592e-09	3.41564226420975e-09
NC_041728.1	34188000	34342000	883	3.3262553238692902e-09	3.162826558903845e-09	3.489684088834736e-09
NC_041728.1	34342000	34496000	990	3.16180077813526e-09	2.9983720131698148e-09	3.3252295431007057e-09
NC_041728.1	34496000	34650000	1363	3.5221554247750718e-09	3.3587266598096265e-09	3.6855841897405174e-09
NC_041728.1	34650000	34804000	1368	3.5165037674670564e-09	3.353075002501611e-09	3.679932532432502e-09
NC_041728.1	34804000	34958000	1150	3.331432418478018e-09	3.1680036535125726e-09	3.4948611834434635e-09
NC_041728.1	34958000	35112000	1176	3.1519163358126693e-09	2.988487570847224e-09	3.315345100778115e-09
NC_041728.1	35112000	35266000	1162	3.3994415680369773e-09	3.236012803071532e-09	3.562870333002423e-09
NC_041728.1	35266000	35420000	996	3.2767193004927135e-09	3.113290535527268e-09	3.440148065458159e-09
NC_041728.1	35420000	35574000	727	2.626860578746132e-09	2.463431813780687e-09	2.790289343711578e-09
NC_041728.1	35574000	35728000	610	2.5449755463005822e-09	2.381546781335137e-09	2.708404311266028e-09
NC_041728.1	35728000	35882000	658	2.5786360269858213e-09	2.415207262020376e-09	2.742064791951267e-09
NC_041728.1	35882000	36036000	471	2.5629187991838913e-09	2.399490034218446e-09	2.726347564149337e-09
NC_041728.1	36036000	36190000	676	2.4721134889049648e-09	2.3086847239395195e-09	2.6355422538704104e-09
NC_041728.1	36190000	36344000	463	3.0803083348595925e-09	2.9168795698941473e-09	3.243737099825038e-09
NC_041728.1	36652000	36806000	633	9.908203559532828e-10	0	3.0337356595438583e-09
NC_041728.1	36806000	36960000	995	3.3000634593122258e-09	3.1366346943467805e-09	3.4634922242776714e-09
NC_041728.1	36960000	37114000	1277	3.379281223277149e-09	3.2158524583117037e-09	3.5427099882425946e-09
NC_041728.1	37114000	37268000	1377	3.559477279926468e-09	3.3960485149610226e-09	3.7229060448919135e-09
NC_041728.1	37268000	37422000	1644	3.566496790461472e-09	3.403068025496027e-09	3.729925555426918e-09
NC_041728.1	37422000	37576000	1269	3.4575652791582785e-09	3.2941365141928333e-09	3.620994044123724e-09
NC_041728.1	37576000	37730000	1259	3.2139517758238303e-09	3.050523010858385e-09	3.377380540789276e-09
NC_041728.1	37730000	37884000	1221	3.2268481106095667e-09	3.0634193456441214e-09	3.3902768755750124e-09
NC_041728.1	37884000	38038000	1236	3.2344018683624357e-09	3.0709731033969904e-09	3.3978306333278814e-09
NC_041728.1	38038000	38192000	1328	3.4297571167952007e-09	3.2663283518297555e-09	3.5931858817606464e-09
NC_041728.1	38192000	38346000	1745	3.4550540955425388e-09	3.2916253305770935e-09	3.6184828605079845e-09
NC_041728.1	38346000	38500000	1411	3.639281675152933e-09	3.4758529101874876e-09	3.8027104401183785e-09
NC_041728.1	38500000	38654000	1281	3.4207354861261294e-09	3.257306721160684e-09	3.584164251091575e-09
NC_041728.1	38654000	38808000	1269	3.32320231357367e-09	3.159773548608225e-09	3.4866310785391157e-09
NC_041728.1	38808000	38962000	1226	3.1750004561725243e-09	3.011571691207079e-09	3.33842922113797e-09
NC_041728.1	38962000	39116000	583	2.517157662453615e-09	2.3537288974881697e-09	2.6805864274190606e-09
NC_041728.1	39116000	39270000	987	3.1707363946427547e-09	3.0073076296773094e-09	3.3341651596082003e-09
NC_041728.1	39270000	39424000	791	3.040571342555782e-09	2.8771425775903366e-09	3.2040001075212275e-09
NC_041728.1	39424000	39578000	905	3.4127121275253416e-09	3.2492833625598964e-09	3.5761408924907873e-09
NC_041728.1	39578000	39732000	855	3.261535226428951e-09	3.0981064614635055e-09	3.4249639913943965e-09
NC_041728.1	39732000	39886000	1014	3.2855329340972005e-09	3.1221041691317552e-09	3.448961699062646e-09
NC_041728.1	39886000	40040000	1104	3.2375867253471056e-09	3.0741579603816604e-09	3.4010154903125513e-09
NC_041728.1	40040000	40194000	855	3.278207369080185e-09	3.11477860411474e-09	3.441636134045631e-09
NC_041728.1	40194000	40348000	1038	3.149685742083237e-09	2.986256977117792e-09	3.313114507048683e-09
NC_041728.1	40348000	40502000	940	3.3688792464574586e-09	3.2054504814920134e-09	3.5323080114229043e-09
